%X(m)			Y(m)			Elevation(m)
421.22264946598864     71.38312586445366     15
424.60684473978864     72.55878284923926     14
429.2751978493953     73.25034578146611     3.4
446.0038711925041     72.21300138312586     .61
455.24477254685814     70.69156293222682     7.4
468.0586407235239     71.62517289073304     3.9
432.2209266249996     74.63347164591977     0.97
422.2611638016203     78.85200553250345     15
434.35367897614026     78.50622406639002     -13
434.6355255358313     78.33333333333331     -15
435.19915365869724     77.88381742738588     -14
438.0823124547191     79.4052558782849     -12
438.9906171029233     79.0594744121715     -16
444.5047915431733     79.68188105117564     -6.5
451.9290402701082     78.78284923928075     1.5
434.5114471864308     80.30428769017979     -22
436.01579155357274     81.23789764868602     -21
438.8348854501399     80.51175656984785     -13
469.25461995237055     80.40802213001382     3.8
436.39344297812306     83.969571230982     -19
439.68298165884977     84.07330567081601     -9.5
441.029276164131     82.75933609958504     -14
430.1285804414217     85.24896265560164     11
438.2111572153066     85.04149377593359     -12
442.40969384041017     85.90594744121714     -5.6
452.52943475563046     87.01244813278007     -3.6
466.1574276285458     87.2890733056708     2.6
441.84805894404064     89.536652835408     -14
443.7282348332796     90.29737206085751     -11
442.25714701691993     92.4412171507607     -10
440.6600092901687     93.40940525587827     -16
439.1566832017804     94.1009681881051     -4.7
440.66213250969747     96.79806362378974     -10
445.2034607611699     94.75795297372059     -19
444.610367550966     98.1811894882434     -21
449.4932958260104     91.33471645919776     -12
448.9613210065274     92.30290456431533     -13
449.77592234389573     92.40663900414935     -10
451.9062048274213     92.33748271092668     -13
455.3205151537211     91.57676348547716     -8.7
454.7259486891503     92.64868603042875     -14
461.27491099810385     94.79253112033193     -4.1
453.16185085812737     96.34854771784231     -20
452.1912362164055     97.24757952973718     -20
447.08822973755275     102.84923928077453     -25
448.4666325218302     102.78008298755185     -27
450.00319349549534     105.13139695712307     -25
449.6280769350763     106.44536652835406     -26
460.3366429559376     97.31673582295987     -7.6
460.2752429136465     99.32226832641769     -15
459.21395813184415     105.51175656984783     -22
460.404910963439     106.27247579529735     -14
460.4679359186348     106.86030428769016     -7.5
461.09597558904176     109.21161825726139     -5.2
455.5826461035022     109.93775933609956     -22
455.83476758979054     112.32365145228214     -8.6
452.79665709917947     113.49930843706775     -15
453.015760355245     113.18810511756568     -15
450.5092347050198     112.77316735822959     -10
424.7099292144608     87.08160442600276     7.6
424.3685025149319     92.16459197786997     12
430.4460450919831     91.92254495159058     8.5
434.48770179251727     92.40663900414935     9
430.3552232933648     96.97095435684645     17
426.47267806445575     100.42876901798061     15
432.0500507839447     101.91562932226832     13
422.9672859534729     105.82295988934992     14
429.60932327360587     106.51452282157675     21
423.62827885758657     110.76763485477177     19
426.6984326306777     110.73305670816042     20
432.40107530236384     112.15076071922543     20
439.6063507662656     111.77040110650067     15
427.8935885703193     118.20193637621021     21
445.8436547801038     116.50760719225448     15
455.27233106972136     114.67496542185337     1.9
457.5925767045553     117.78699861687411     3.2
468.6830405890244     118.16735822959888     6.2
468.61431760590966     108.48547717842321     6.9
465.19261934226995     97.45504840940524     0.11
